Name,Icon (Male),Icon (Female),Equip Slot,Caption,Weight,Damage Negation (Physical),Damage Negation (VS Strike),Damage Negation (VS Slash),Damage Negation (VS Pierce),Damage Negation (Magic),Damage Negation (Fire),Damage Negation (Lightning),Damage Negation (Holy),Immunity (Poison and Rot),Robustness (Blood),Frost,Focus (Madness),Sleep,Vitality (Death Blight),Poise,Sell Price,Drop Type,Obtainable,ID,Armor Set ID,Armor ID,Icon ID (Male),Icon ID (Female),Model ID,Armor Category,Sort Group ID,Sort ID,Resident SpEffect ID [1],Resident SpEffect ID [2],Resident SpEffect ID [3],Hidden Effect,Physical Negation (Raw),Strike Negation (Raw),Slash Negation (Raw),Pierce Negation (Raw),Magic Negation (Raw),Fire Negation (Raw),Lightning Negation (Raw),Holy Negation (Raw),Info (Unused)
Commoner's Headband,,-,Head,"A headband that holds cloth in place.
Standard wear for commoners of the Lands Between.

Only, there are no commoners remaining with their wits about them.",1.4,0.9,1.8,1.8,1.4,4.4,4.0,4.2,4.4,15,10,-,27,-,29,0,10,White,Yes,810000,81,0000,14260,14260,2140,0,10,500000,-1,-1,-1,,0.991,0.982,0.982,0.986,0.956,0.96,0.958,0.956,Hood of a rune cursed citizen
Commoner's Headband (Altered),,-,Head,"A headband with the cloth removed.
Standard wear for commoners of the Lands Between.

Only, there are no commoners remaining with their wits about them.",0.7,0.1,1.1,1.1,0.6,3.9,3.5,3.7,3.9,12,8,-,23,-,24,0,10,White,Yes,811000,81,1000,14270,14270,2141,0,10,500010,-1,-1,-1,,0.999,0.989,0.989,0.994,0.961,0.965,0.963,0.961,Garb of a rune cursed citizen
Aristocrat Headband,,-,Head,"Valuable headband featuring fine goldwork.
Travel attire worn by nobles in the capital.

Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",1.2,1.9,1.9,1.9,1.6,4.0,3.6,3.8,4.0,15,10,-,25,-,22,0,1000,White,Yes,370000,37,0000,13540,13540,1860,0,10,500020,-1,-1,-1,,0.981,0.981,0.981,0.984,0.96,0.964,0.962,0.96,"Aristocrat headband, decorated with fine goldwork"
Aristocrat Hat,,-,Head,"Leather hat decorated with a withered feather.
Travel attire worn by nobles in the capital, and the belonging of a family which claims a knight as an ancestor.

Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",3.0,3.1,3.1,2.8,3.1,3.8,4.0,3.8,3.1,22,14,-,18,-,20,1,10,White,Yes,380000,38,0000,13560,13560,1870,0,10,500030,-1,-1,-1,,0.969,0.972,0.969,0.969,0.962,0.96,0.962,0.969,"Aristocrat hat, decorated with a marcescent feather"
Old Aristocrat Cowl,,-,Head,"Cowl made of soft cloth.
Travel attire worn by nobles in the capital. Garb favored by the aged.

Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",2.2,2.5,2.5,2.3,2.5,3.4,3.6,3.4,2.5,18,11,-,15,-,16,1,10,White,Yes,390000,39,0000,13570,13570,1880,0,10,500040,-1,-1,-1,,0.975,0.977,0.975,0.975,0.966,0.964,0.966,0.975,"Aristocrat hood, made from superior cloth"
Page Hood,,-,Head,"Hood worn by pages who serve the nobility and are mindful to keep them out of harm's way.

The unassuming sack-like appearance befits their unseen and unknown stature.",1.4,1.8,1.4,0.9,0.9,4.4,4.2,4.5,4.5,15,8,-,29,-,29,0,200,White,Yes,220000,22,0000,13260,13260,1680,0,10,500050,-1,-1,-1,,0.982,0.991,0.986,0.991,0.956,0.958,0.955,0.955,Hood worn by pages
High Page Hood,,-,Head,"Hood of a page selected for special privileges by the noble they serve.

The unassuming sack-like appearance befits their unseen and unknown stature.",1.4,0.9,1.8,0.9,0.9,4.6,4.2,4.4,4.5,15,8,-,27,-,27,0,200,White,Yes,1990000,199,0000,15390,15390,1685,0,10,500060,-1,-1,-1,,0.991,0.991,0.982,0.991,0.954,0.958,0.956,0.955,Hood of a Page loyal to a certain noble family
Guardian Mask,,-,Head,"Engraved golden mask.
Worn by the guardians of the Minor Erdtrees.

In accordance with an ancient pact with the Erdtree, it is said that their deaths led not to destruction, but instead to renewed, eternal life as guardians.",3.8,3.8,3.6,3.6,3.4,4.2,4.0,4.2,4.2,33,22,-,26,-,24,2,100,White,Yes,330000,33,0000,13460,13460,1800,0,10,500070,-1,-1,-1,,0.962,0.964,0.964,0.966,0.958,0.96,0.958,0.958,Mask worn by the people of rotted abundance
Festive Hood,,-,Head,"Hood worn by dancers at the festivities in Dominula, the village of windmills.

Decorated with many-colored flowers.",1.7,1.4,1.8,2.1,1.8,4.5,4.2,4.4,4.6,18,9,-,29,-,29,0,100,Purple,Yes,800000,80,0000,14230,14230,2130,0,10,500080,-1,-1,-1,,0.986,0.979,0.982,0.982,0.955,0.958,0.956,0.954,Hood worn for a humble festival
Festive Hood (Altered),,-,Head,"Hood worn by dancers at the festivities in Dominula, the village of windmills.

Decorated with a stunning array of flowers.",1.0,0.2,0.9,1.4,0.9,4.2,3.8,4.0,4.5,13,4,-,23,-,23,0,100,Purple,Yes,801000,80,1000,14240,14240,2131,0,10,500090,-1,-1,-1,,0.998,0.986,0.991,0.991,0.958,0.962,0.96,0.955,Wreath of flowers worn for a humble festival
Blue Festive Hood,,-,Head,"Hood worn by dancers at the festivities in Dominula, the village of windmills.

Use of this hood, dyed in a stunning blue, is only permitted for the young maids who play the central role in the festival.",1.7,1.4,1.4,2.1,1.8,4.5,4.0,4.5,4.9,20,9,-,31,-,27,0,100,Purple,Yes,802000,80,2000,14250,14250,2135,0,10,500100,-1,-1,-1,,0.986,0.979,0.986,0.982,0.955,0.96,0.955,0.951,Hood worn for a humble festival
Guilty Hood,,-,Head,"Coarse hooded cloak of olive brown.

The garb of those accused of lesser crimes, indicated by the collar of sharpened branches.",1.4,0.9,1.4,1.8,0.2,4.4,4.0,4.5,4.6,15,9,-,27,-,31,0,10,Purple,Yes,160000,16,0000,13160,13160,1200,0,10,500110,-1,-1,-1,,0.991,0.982,0.986,0.998,0.956,0.96,0.955,0.954,Coarse hooded cloak of olive brown
Prisoner Iron Mask,,-,Head,"Iron mask forced on a prisoner convicted of an appalling crime.
Thick, heavy, and utterly stifling.

A foul creation designed to torment the wearer, either slowly fermenting hatred within their heart, or a spiritual fervor that is near indistinguishable from it.",8.6,6.8,5.9,7.0,6.8,4.6,4.9,4.5,4.8,29,44,-,35,-,20,11,100,Purple,Yes,890000,89,0000,14440,14440,1410,0,10,500120,-1,-1,-1,,0.932,0.93,0.941,0.932,0.954,0.951,0.955,0.952,Iron mask worn by grave offenders
Blackguard's Iron Mask,,-,Head,"Iron mask forced on convicted prisoners.
Worn by the blackguard Big Boggart.

To Boggart, the mask made him all the more threatening, and helped him get what he wanted. But it was also a mirror of his emptiness.",6.2,5.8,4.4,6.1,5.5,4.2,4.4,4.0,4.5,22,31,-,12,-,12,8,100,Purple,Yes,891000,89,1000,14450,14450,1415,0,10,500130,-1,-1,-1,,0.942,0.939,0.956,0.945,0.958,0.956,0.96,0.955,Iron mask worn by only the most violent offenders
Bloodsoaked Mask,,-,Head,"Mask formed from tightly-wound bandages soaked through with blood.

Even the most ghastly cover is more inviting than the festering face beneath.",2.2,1.8,1.8,1.8,2.1,4.6,4.4,4.5,4.6,18,10,-,30,-,31,0,500,Purple,Yes,964000,96,4000,14620,14620,1486,0,10,500140,-1,-1,-1,,0.982,0.982,0.982,0.979,0.954,0.956,0.955,0.954,Bandages dirtied with blood
Black Dumpling,,-,Head,"Mask forced on a victim's head to lend torture an extra degree of cruelty.
It magnifies one's fears and makes them acutely aware of all forms of pain.

Raises attack power when the wearer suffers from madness.

When the Black Dumpling goes on, the torturer no longer seeks answers; only to inflict suffering without hope of relief.",2.7,2.8,3.1,2.8,2.8,3.1,3.4,3.6,3.1,24,15,-,0,-,20,1,10,Purple,Yes,2020000,202,0000,15440,15440,2620,0,10,500150,6202000,-1,-1,,0.972,0.972,0.969,0.972,0.969,0.966,0.964,0.969,Red cloth blindfold used to cover prisoners' eyes
Mushroom Head,,-,Head,"Mushrooms found growing all over the body.
These overgrown mushrooms have colonized the head.

To those enraptured by the scarlet rot, they are holy vestments that root one to the earth.",2.2,2.1,2.5,0.9,1.8,4.7,1.8,4.6,4.6,44,10,-,39,-,33,0,100,Purple,Yes,1130000,113,0000,14940,14940,2310,0,10,500160,-1,-1,-1,,0.979,0.991,0.975,0.982,0.953,0.982,0.954,0.954,Helm with slime mold growing on it
Mushroom Crown,,-,Head,"Mushrooms found growing all over the body.
These overgrown mushrooms form a towering headpiece.

Raises attack power when something nearby suffers from poison or rot.

Long ago, great lords served the scarlet rot. Perhaps such fungal bodies served as their crowns.",9.1,5.8,5.9,6.8,7.0,4.8,3.1,4.6,4.8,46,45,-,18,-,22,9,200,Purple,Yes,2010000,201,0000,15430,15430,2610,0,10,500170,6201000,-1,-1,,0.942,0.932,0.941,0.93,0.952,0.969,0.954,0.952,Garland crown of large flowers rotted by poison
Astrologer Hood,,-,Head,"Hood fashioned from supple cloth.
Worn by those who look to the cosmos above.

They read fate in the stars, and are said to be heirs of the glintstone sorcerers.

But alas, the night sky no longer cradles fate.",1.7,1.8,1.4,1.4,1.4,4.6,4.5,4.6,4.5,18,9,-,31,-,27,1,100,Purple,Yes,630000,63,0000,13950,13950,1250,0,20,501000,-1,-1,-1,,0.982,0.986,0.986,0.986,0.954,0.955,0.954,0.955,Hood of the glintstone polishers
Juvenile Scholar Cap,,-,Head,"Cap worn by young academy scholars, the juveniles birthed anew by the amber egg of Queen Rennala, the head of Raya Lucaria Academy.

Yet their rebirth is not without imperfections, and thus do they repeat the process, eventually becoming utterly dependent upon it.

Rebirth is as sleep to them, and with each awakening, memory fades into oblivion.",1.4,1.4,1.8,1.8,1.4,4.5,4.0,4.2,4.4,15,10,-,26,-,29,0,500,White,Yes,1030000,103,0000,14770,14770,2220,0,20,501010,-1,-1,-1,,0.986,0.982,0.982,0.986,0.955,0.96,0.958,0.956,Cap worn by students of the Raya Lucaria Academy
Karolos Glintstone Crown,,-,Head,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.

Increases intelligence to the detriment of stamina.

The Karolos Conspectus is the oldest of the academy's lineages of study, begat by the sorcerer Azur. Scholars who follow in his footsteps pursue the mysteries of comets.",5.1,4.4,3.1,5.2,4.8,4.4,4.5,3.4,3.8,16,26,-,10,-,10,3,500,White,Yes,833000,83,3000,14340,14340,2175,0,20,501020,1956,486,6083300,,0.956,0.948,0.969,0.952,0.956,0.955,0.966,0.962,Stone mask depicting the wise Karolos
Olivinus Glintstone Crown,,-,Head,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.

Increases intelligence to the detriment of HP.

The lineage of the Olivinus Conspectus began with the sorcerer Lusat, and its adherents continue his study of meteors.",5.1,4.4,3.1,5.2,4.8,4.4,4.5,3.4,3.8,16,26,-,10,-,10,3,500,White,Yes,831000,83,1000,14320,14320,2165,0,20,501030,1952,486,6083100,,0.956,0.948,0.969,0.952,0.956,0.955,0.966,0.962,Stone mask of a Gold Amber Sage
Twinsage Glintstone Crown,,-,Head,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.

Greatly increases intelligence to the detriment of HP and stamina.

Scholars of the Twinsage Conspectus were the elites of the academy, permitted to study and excel in sorceries of all kinds.",5.1,4.4,3.1,5.2,4.8,4.4,4.5,3.4,3.8,16,26,-,10,-,10,3,100,White,Yes,830000,83,0000,14310,14310,2160,0,20,501040,1950,486,6083000,,0.956,0.948,0.969,0.952,0.956,0.955,0.966,0.962,Stone mask of the Twin Crystal Sage
