Name,Icon (Male),Icon (Female),Equip Slot,Info,Caption,Weight,Damage Negation (Physical),Damage Negation (VS Strike),Damage Negation (VS Slash),Damage Negation (VS Pierce),Damage Negation (Magic),Damage Negation (Fire),Damage Negation (Lightning),Damage Negation (Holy),Immunity (Poison and Rot),Robustness (Blood),Frost,Focus (Madness),Sleep,Vitality (Death Blight),Poise,Sell Price,Drop Type,Obtainable,ID,Armor Set ID,Armor ID,Icon ID (Male),Icon ID (Female),Armor Category,Sort Group ID,Sort ID,Resident SpEffect ID [1],Resident SpEffect ID [2],Resident SpEffect ID [3],Passive Effect
Commoner's Headband,,-,Head,Hood of a rune cursed citizen,"A headband that holds cloth in place. Standard wear for commoners of the Lands Between. Only, there are no commoners remaining with their wits about them.",1.4,0.9,1.8,1.8,1.4,4.4,4.0,4.2,4.4,15,10,-,27,-,29,0,10,White,Yes,810000,81,0000,14260,14260,0,10,500000,-1,-1,-1,
Commoner's Headband (Altered),,-,Head,Garb of a rune cursed citizen,"A headband with the cloth removed. Standard wear for commoners of the Lands Between. Only, there are no commoners remaining with their wits about them.",0.7,0.1,1.1,1.1,0.6,3.9,3.5,3.7,3.9,12,8,-,23,-,24,0,10,White,Yes,811000,81,1000,14270,14270,0,10,500010,-1,-1,-1,
Aristocrat Headband,,-,Head,"Aristocrat headband, decorated with fine goldwork","Valuable headband featuring fine goldwork. Travel attire worn by nobles in the capital. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",1.2,1.9,1.9,1.9,1.6,4.0,3.6,3.8,4.0,15,10,-,25,-,22,0,1000,White,Yes,370000,37,0000,13540,13540,0,10,500020,-1,-1,-1,
Aristocrat Hat,,-,Head,"Aristocrat hat, decorated with a marcescent feather","Leather hat decorated with a withered feather. Travel attire worn by nobles in the capital, and the belonging of a family which claims a knight as an ancestor. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",3.0,3.1,3.1,2.8,3.1,3.8,4.0,3.8,3.1,22,14,-,18,-,20,1,10,White,Yes,380000,38,0000,13560,13560,0,10,500030,-1,-1,-1,
Old Aristocrat Cowl,,-,Head,"Aristocrat hood, made from superior cloth","Cowl made of soft cloth. Travel attire worn by nobles in the capital. Garb favored by the aged. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",2.2,2.5,2.5,2.3,2.5,3.4,3.6,3.4,2.5,18,11,-,15,-,16,1,10,White,Yes,390000,39,0000,13570,13570,0,10,500040,-1,-1,-1,
Page Hood,,-,Head,Hood worn by pages,Hood worn by pages who serve the nobility and are mindful to keep them out of harm's way. The unassuming sack-like appearance befits their unseen and unknown stature.,1.4,1.8,1.4,0.9,0.9,4.4,4.2,4.5,4.5,15,8,-,29,-,29,0,200,White,Yes,220000,22,0000,13260,13260,0,10,500050,-1,-1,-1,
High Page Hood,,-,Head,Hood of a Page loyal to a certain noble family,Hood of a page selected for special privileges by the noble they serve. The unassuming sack-like appearance befits their unseen and unknown stature.,1.4,0.9,1.8,0.9,0.9,4.6,4.2,4.4,4.5,15,8,-,27,-,27,0,200,White,Yes,1990000,199,0000,15390,15390,0,10,500060,-1,-1,-1,
Guardian Mask,,-,Head,Mask worn by the people of rotted abundance,"Engraved golden mask. Worn by the guardians of the Minor Erdtrees. In accordance with an ancient pact with the Erdtree, it is said that their deaths led not to destruction, but instead to renewed, eternal life as guardians.",3.8,3.8,3.6,3.6,3.4,4.2,4.0,4.2,4.2,33,22,-,26,-,24,2,100,White,Yes,330000,33,0000,13460,13460,0,10,500070,-1,-1,-1,
Festive Hood,,-,Head,Hood worn for a humble festival,"Hood worn by dancers at the festivities in Dominula, the village of windmills. Decorated with many-colored flowers.",1.7,1.4,1.8,2.1,1.8,4.5,4.2,4.4,4.6,18,9,-,29,-,29,0,100,Purple,Yes,800000,80,0000,14230,14230,0,10,500080,-1,-1,-1,
Festive Hood (Altered),,-,Head,Wreath of flowers worn for a humble festival,"Hood worn by dancers at the festivities in Dominula, the village of windmills. Decorated with a stunning array of flowers.",1.0,0.2,0.9,1.4,0.9,4.2,3.8,4.0,4.5,13,4,-,23,-,23,0,100,Purple,Yes,801000,80,1000,14240,14240,0,10,500090,-1,-1,-1,
Blue Festive Hood,,-,Head,Hood worn for a humble festival,"Hood worn by dancers at the festivities in Dominula, the village of windmills. Use of this hood, dyed in a stunning blue, is only permitted for the young maids who play the central role in the festival.",1.7,1.4,1.4,2.1,1.8,4.5,4.0,4.5,4.9,20,9,-,31,-,27,0,100,Purple,Yes,802000,80,2000,14250,14250,0,10,500100,-1,-1,-1,
